timestep,demand_el,demand_th,demand_water,demand_f,wastewater,heat_demand_digester,electricity_demand_digester
68,4703.196,1876.237,117.3267,0.052101,0.095,1311.618729,112.575
69,4703.196,1877.237,118.3267,0.014673,0.095,1328.328927,112.575
70,4703.196,1878.237,119.3267,0,0.095,1333.389428,112.575
71,4703.196,1879.237,120.3267,0,0.095,1334.918122,112.575
72,4703.196,1880.237,121.3267,0,0.095,1365.28113,112.575
73,4703.196,1881.237,122.3267,0,0.095,1379.461077,112.575
74,4703.196,1882.237,123.3267,0,0.095,1371.448617,112.575
75,4703.196,1883.237,124.3267,0,0.095,1398.332531,112.575
76,4703.196,1884.237,125.3267,0,0.095,1435.07388,112.575
77,4703.196,1885.237,126.3267,0,0.095,1457.213574,112.575
78,4703.196,1886.237,127.3267,0,0.095,1377.194394,112.575
79,4703.196,1887.237,128.3267,0,0.095,1282.784413,112.575
80,4703.196,1888.237,129.3267,0,0.095,1158.116851,112.575
81,4703.196,1889.237,130.3267,0,0.095,1082.947318,112.575
82,4703.196,1890.237,131.3267,0,0.095,1046.469537,112.575
83,4703.196,1891.237,132.3267,0,0.095,1021.114316,112.575
84,4703.196,1892.237,133.3267,0,0.095,1012.416579,112.575
85,4703.196,1893.237,134.3267,0,0.095,1026.385671,112.575
86,4703.196,1894.237,135.3267,0.062188,0.095,1091.27606,112.575
87,4703.196,1895.237,136.3267,0.15426,0.095,1206.613323,112.575
88,4703.196,1896.237,137.3267,0.16016,0.095,1249.574872,112.575
89,4703.196,1897.237,138.3267,0.1036,0.095,1278.356475,112.575
90,4703.196,1898.237,139.3267,0.084862,0.095,1297.965918,112.575
91,4703.196,1899.237,140.3267,0,0.095,1326.325812,112.575
92,4703.196,1900.237,141.3267,0,0.095,1358.850076,112.575
93,4703.196,1901.237,142.3267,0.062188,0.095,1388.949518,112.575
94,4703.196,1902.237,143.3267,0.15426,0.095,1392.481326,112.575
95,4703.196,1903.237,144.3267,0.16016,0.095,1387.05183,112.575
96,4703.196,1904.237,145.3267,0.1036,0.095,1386.419267,112.575
97,4703.196,1905.237,146.3267,0.084862,0.095,1382.729318,112.575
98,4703.196,1906.237,147.3267,0.052101,0.095,1387.20997,112.575
99,4703.196,1907.237,148.3267,0.014673,0.095,1411.352779,112.575
100,4703.196,1908.237,149.3267,0,0.095,1444.825888,112.575
101,4703.196,1909.237,150.3267,0,0.095,1456.475584,112.575
102,4703.196,1910.237,151.3267,0,0.095,1371.185049,112.575
103,4703.196,1911.237,152.3267,0,0.095,1256.322208,112.575
104,4703.196,1912.237,153.3267,0,0.095,1155.902881,112.575
105,4703.196,1913.237,154.3267,0,0.095,1075.40928,112.575
106,4703.196,1914.237,155.3267,0,0.095,1037.666373,112.575
107,4703.196,1915.237,156.3267,0,0.095,1024.013561,112.575
108,4703.196,1916.237,157.3267,0,0.095,1034.977981,112.575
109,4703.196,1917.237,158.3267,0,0.095,1072.773602,112.575
110,4703.196,1918.237,159.3267,0,0.095,1141.564794,112.575
111,4703.196,1919.237,160.3267,0,0.095,1275.984365,112.575
112,4703.196,1920.237,161.3267,0,0.095,1318.207924,112.575
113,4703.196,1921.237,162.3267,0,0.095,1299.705465,112.575
114,4703.196,1922.237,163.3267,0,0.095,1288.477478,112.575
115,4703.196,1923.237,164.3267,0,0.095,1293.010844,112.575
116,4703.196,1924.237,165.3267,0.062188,0.095,1296.437225,112.575
117,4703.196,1925.237,166.3267,0.15426,0.095,1306.189233,112.575
118,4703.196,1926.237,167.3267,0.16016,0.095,1304.555113,112.575
119,4703.196,1927.237,168.3267,0.1036,0.095,1298.176772,112.575
120,4703.196,1928.237,169.3267,0.084862,0.095,1285.736373,112.575
121,4703.196,1929.237,170.3267,0,0.095,1280.254163,112.575
122,4703.196,1930.237,171.3267,0,0.095,1285.156524,112.575
123,4703.196,1931.237,172.3267,0.062188,0.095,1294.750391,112.575
124,4703.196,1932.237,173.3267,0.15426,0.095,1312.304005,112.575
125,4703.196,1933.237,174.3267,0.16016,0.095,1331.966162,112.575
126,4703.196,1934.237,175.3267,0.1036,0.095,1324.849832,112.575
127,4703.196,1935.237,176.3267,0.084862,0.095,1290.955015,112.575
128,4703.196,1936.237,177.3267,0.052101,0.095,1236.923619,112.575
129,4703.196,1937.237,178.3267,0.014673,0.095,1206.033474,112.575
130,4703.196,1938.237,179.3267,0,0.095,1204.083073,112.575
131,4703.196,1939.237,180.3267,0,0.095,1216.997894,112.575
132,4703.196,1940.237,181.3267,0,0.095,1240.718995,112.575
133,4703.196,1941.237,182.3267,0,0.095,1271.187431,112.575
134,4703.196,1942.237,183.3267,0,0.095,1307.92878,112.575
135,4703.196,1943.237,184.3267,0,0.095,1329.699479,112.575
136,4703.196,1944.237,185.3267,0,0.095,1331.702595,112.575
137,4703.196,1945.237,186.3267,0,0.095,1324.006415,112.575
138,4703.196,1946.237,187.3267,0,0.095,1323.848275,112.575
139,4703.196,1947.237,188.3267,0,0.095,1328.592495,112.575
140,4703.196,1948.237,189.3267,0,0.095,1336.710382,112.575
141,4703.196,1949.237,190.3267,0,0.095,1343.826713,112.575
142,4703.196,1950.237,191.3267,0,0.095,1356.319826,112.575
143,4703.196,1951.237,192.3267,0,0.095,1367.4951,112.575
144,4703.196,1952.237,193.3267,0,0.095,1371.764898,112.575
145,4703.196,1953.237,194.3267,0,0.095,1378.933942,112.575
146,4703.196,1954.237,195.3267,0.062188,0.095,1378.512233,112.575
147,4703.196,1955.237,196.3267,0.15426,0.095,1370.657913,112.575
148,4703.196,1956.237,197.3267,0.16016,0.095,1365.86098,112.575
149,4703.196,1957.237,198.3267,0.1036,0.095,1359.482639,112.575
150,4703.196,1958.237,58.2893,0.084862,0.095,1352.577163,112.575
151,4703.196,1959.237,59.2893,0,0.095,1350.468621,112.575
152,4703.196,1960.237,60.2893,0,0.095,1335.603398,112.575
153,4703.196,1961.237,61.2893,0.062188,0.095,1294.486823,112.575
154,4703.196,1962.237,62.2893,0.15426,0.095,1261.857131,112.575
155,4703.196,1963.237,63.2893,0.16016,0.095,1243.301959,112.575
156,4703.196,1964.237,64.2893,0.1036,0.095,1238.346885,112.575
157,4703.196,1965.237,65.2893,0.084862,0.095,1248.889596,112.575
158,4703.196,1966.237,66.2893,0.052101,0.095,1274.719239,112.575
159,4703.196,1967.237,67.2893,0.014673,0.095,1303.658982,112.575
160,4703.196,1968.237,68.2893,0,0.095,1317.628075,112.575
161,4703.196,1969.237,69.2893,0,0.095,1328.012646,112.575
162,4703.196,1970.237,70.2893,0,0.095,1330.015761,112.575
163,4703.196,1971.237,71.2893,0,0.095,1327.590937,112.575
164,4703.196,1972.237,72.2893,0,0.095,1322.794003,112.575
165,4703.196,1973.237,73.2893,0,0.095,1319.63119,112.575
166,4703.196,1974.237,74.2893,0,0.095,1310.090036,112.575
167,4703.196,1975.237,75.2893,0,0.095,1305.872952,112.575
168,4703.196,1976.237,76.2893,0,0.095,1310.195463,112.575
169,4703.196,1977.237,77.2893,0,0.095,1319.736617,112.575
170,4703.196,1978.237,78.2893,0,0.095,1330.068474,112.575
171,4703.196,1979.237,79.2893,0,0.095,1343.352291,112.575
172,4703.196,1980.237,80.2893,0,0.095,1359.957061,112.575
173,4703.196,1981.237,81.2893,0,0.095,1376.878113,112.575
174,4703.196,1982.237,82.2893,0,0.095,1386.630121,112.575
175,4703.196,1983.237,83.2893,0,0.095,1366.493542,112.575
176,4703.196,1984.237,84.2893,0.062188,0.095,1318.8932,112.575
177,4703.196,1985.237,85.2893,0.15426,0.095,1259.748589,112.575
178,4703.196,1986.237,86.2893,0.16016,0.095,1234.340654,112.575
179,4703.196,1987.237,87.2893,0.1036,0.095,1241.878693,112.575
180,4703.196,1988.237,88.2893,0.084862,0.095,1250.892711,112.575
181,4703.196,1989.237,89.2893,0,0.095,1266.021502,112.575
182,4703.196,1990.237,90.2893,0,0.095,1281.466575,112.575
183,4703.196,1991.237,91.2893,0.062188,0.095,1292.430994,112.575
184,4703.196,1992.237,92.2893,0.15426,0.095,1300.127174,112.575
185,4703.196,1993.237,93.2893,0.16016,0.095,1312.936568,112.575
186,4703.196,1994.237,94.2893,0.1036,0.095,1327.274656,112.575
187,4703.196,1995.237,95.2893,0.084862,0.095,1345.355406,112.575
188,4703.196,1996.237,96.2893,0.052101,0.095,1364.806708,112.575
189,4703.196,1997.237,97.2893,0.014673,0.095,1380.409921,112.575
190,4703.196,1998.237,98.2893,0,0.095,1390.741779,112.575
191,4703.196,1999.237,99.2893,0,0.095,1399.386802,112.575
192,4703.196,2000.237,100.2893,0,0.095,1406.7667,112.575
193,4703.196,2001.237,101.2893,0,0.095,1411.721774,112.575
194,4703.196,2002.237,102.2893,0,0.095,1420.893933,112.575
195,4703.196,2003.237,103.2893,0,0.095,1430.962223,112.575
196,4703.196,2004.237,104.2893,0,0.095,1444.56232,112.575
197,4703.196,2005.237,105.2893,0,0.095,1447.039858,112.575
198,4703.196,2006.237,106.2893,0,0.095,1425.954435,112.575
199,4703.196,2007.237,107.2893,0,0.095,1384.83786,112.575
200,4703.196,2008.237,108.2893,0,0.095,1335.181689,112.575
201,4703.196,1809.237,109.2893,0,0.095,1301.234158,112.575
202,4703.196,1810.237,110.2893,0,0.095,1280.570444,112.575
203,4703.196,1811.237,111.2893,0,0.095,1272.136275,112.575
204,4703.196,1812.237,112.2893,0,0.095,1274.613812,112.575
205,4703.196,1813.237,113.2893,0,0.095,1289.004613,112.575
206,4703.196,1814.237,114.2893,0.062188,0.095,1321.26531,112.575
207,4703.196,1815.237,115.2893,0.15426,0.095,1421.842777,112.575
208,4703.196,1816.237,116.2893,0.16016,0.095,1463.908196,112.575
209,4703.196,1817.237,117.2893,0.1036,0.095,1467.123723,112.575
210,4703.196,1818.237,118.2893,0.084862,0.095,1454.156188,112.575
211,4703.196,1819.237,119.2893,0,0.095,1450.466239,112.575
212,4703.196,1820.237,120.2893,0,0.095,1464.277191,112.575
213,4703.196,1821.237,121.2893,0.062188,0.095,1488.630854,112.575
214,4703.196,1822.237,122.2893,0.15426,0.095,1513.933362,112.575
215,4703.196,1823.237,123.2893,0.16016,0.095,1534.64979,112.575
216,4703.196,1824.237,124.2893,0.1036,0.095,1561.849985,112.575
217,4703.196,1825.237,125.2893,0.084862,0.095,1578.507469,112.575
218,4703.196,1826.237,126.2893,0.052101,0.095,1584.569528,112.575
219,4703.196,1827.237,127.2893,0.014673,0.095,1579.930735,112.575
220,4703.196,1828.237,128.2893,0,0.095,1569.651592,112.575
221,4703.196,1829.237,129.2893,0,0.095,1580.616011,112.575
222,4703.196,1830.237,130.2893,0,0.095,1538.287025,112.575
223,4703.196,1831.237,131.2893,0,0.095,1451.889505,112.575
224,4703.196,1832.237,132.2893,0,0.095,1344.301135,112.575
225,4703.196,1833.237,133.2893,0,0.095,1247.46633,112.575
226,4703.196,1834.237,134.2893,0,0.095,1190.166694,112.575
227,4703.196,1835.237,135.2893,0,0.095,1152.687354,112.575
228,4703.196,1836.237,136.2893,0,0.095,1136.978714,112.575
229,4703.196,1837.237,137.2893,0,0.095,1138.085699,112.575
230,4703.196,1838.237,138.2893,0,0.095,1177.51544,112.575
231,4703.196,1839.237,139.2893,0,0.095,1331.070032,112.575
232,4703.196,1840.237,140.2893,0,0.095,1392.797607,112.575
233,4703.196,1841.237,141.2893,0,0.095,1406.7667,112.575
234,4703.196,1842.237,142.2893,0,0.095,1387.684392,112.575
235,4703.196,1843.237,143.2893,0,0.095,1406.819413,112.575
236,4703.196,1844.237,144.2893,0.062188,0.095,1435.07388,112.575
237,4703.196,1845.237,145.2893,0.15426,0.095,1456.26473,112.575
238,4703.196,1846.237,146.2893,0.16016,0.095,1476.190455,112.575
239,4703.196,1847.237,147.2893,0.1036,0.095,1491.582813,112.575
240,4703.196,1848.237,148.2893,0.084862,0.095,1503.074369,112.575
241,4703.196,1849.237,149.2893,0,0.095,1517.570597,112.575
242,4703.196,1850.237,150.2893,0,0.095,1532.224966,112.575
243,4703.196,1851.237,151.2893,0.062188,0.095,1543.980089,112.575
244,4703.196,1852.237,152.2893,0.15426,0.095,1552.941394,112.575
245,4703.196,1853.237,153.2893,0.16016,0.095,1556.789484,112.575
246,4703.196,1854.237,154.2893,0.1036,0.095,1500.965827,112.575
247,4703.196,1855.237,155.2893,0.084862,0.095,1388.158814,112.575
248,4703.196,1856.237,156.2893,0.052101,0.095,1262.015272,112.575
249,4703.196,1857.237,157.2893,0.014673,0.095,1153.21449,112.575
250,4703.196,1858.237,158.2893,0,0.095,1084.370584,112.575
251,4703.196,1859.237,159.2893,0,0.095,1044.519135,112.575
252,4703.196,1860.237,160.2893,0,0.095,1024.118989,112.575
253,4703.196,1861.237,161.2893,0,0.095,1030.286475,112.575
254,4703.196,1862.237,162.2893,0,0.095,1095.86214,112.575
255,4703.196,1863.237,163.2893,0,0.095,1217.577743,112.575
256,4703.196,1864.237,164.2893,0,0.095,1309.510187,112.575
257,4703.196,1865.237,165.2893,0,0.095,1364.490427,112.575
258,4703.196,1866.237,166.2893,0,0.095,1384.258011,112.575
259,4703.196,1867.237,167.2893,0,0.095,1386.893689,112.575
260,4703.196,1868.237,168.2893,0,0.095,1413.355895,112.575
261,4703.196,1869.237,169.2893,0,0.095,1428.906394,112.575
262,4703.196,1870.237,170.2893,0,0.095,1440.55609,112.575
263,4703.196,1871.237,171.2893,0,0.095,1452.047646,112.575
264,4703.196,1872.237,172.2893,0,0.095,1465.015181,112.575
265,4703.196,1873.237,173.2893,0,0.095,1472.026084,112.575
266,4703.196,1874.237,174.2893,0.062188,0.095,1485.837036,112.575
267,4703.196,1875.237,175.2893,0.15426,0.095,1505.341052,112.575
268,4703.196,1876.237,176.2893,0.16016,0.095,1524.845068,112.575
269,4703.196,1877.237,177.2893,0.1036,0.095,1543.821949,112.575
270,4703.196,1878.237,178.2893,0.084862,0.095,1483.939348,112.575
271,4703.196,1879.237,179.2893,0,0.095,1355.950831,112.575
272,4703.196,1880.237,180.2893,0,0.095,1228.64759,112.575
273,4703.196,1881.237,181.2893,0.062188,0.095,1119.4251,112.575
274,4703.196,1882.237,182.2893,0.15426,0.095,1046.838532,112.575
275,4703.196,1883.237,183.2893,0.16016,0.095,1005.300249,112.575
276,4703.196,1884.237,184.2893,0.1036,0.095,986.0070867,112.575
277,4703.196,1885.237,185.2893,0.084862,0.095,997.0242201,112.575
278,4703.196,1886.237,186.2893,0.052101,0.095,1062.020036,112.575
279,4703.196,1887.237,187.2893,0.014673,0.095,1200.287697,112.575
280,4703.196,1888.237,188.2893,0,0.095,1305.082248,112.575
281,4703.196,1889.237,189.2893,0,0.095,1327.959932,112.575
282,4703.196,1890.237,190.2893,0,0.095,1325.745963,112.575
283,4703.196,1891.237,191.2893,0,0.095,1350.732189,112.575
284,4703.196,1892.237,192.2893,0,0.095,1369.709069,112.575
285,4703.196,1893.237,193.2893,0,0.095,1408.453534,112.575
286,4703.196,1894.237,194.2893,0,0.095,1451.204229,112.575
287,4703.196,1895.237,195.2893,0,0.095,1465.59503,112.575
288,4703.196,1896.237,196.2893,0,0.095,1482.04166,112.575
289,4703.196,1897.237,197.2893,0,0.095,1493.533215,112.575
290,4703.196,1898.237,198.2893,0,0.095,1498.593717,112.575
291,4703.196,1899.237,199.2893,0,0.095,1500.385977,112.575
292,4703.196,1900.237,200.2893,0,0.095,1505.077484,112.575
293,4703.196,1901.237,201.2893,0,0.095,1513.037231,112.575
294,4703.196,1902.237,202.2893,0,0.095,1398.596099,112.575
295,4703.196,1903.237,203.2893,0,0.095,1269.711451,112.575
296,4703.196,1904.237,204.2893,0.062188,0.095,1171.927803,112.575
297,4703.196,1905.237,205.2893,0.15426,0.095,1114.522739,112.575
298,4703.196,1906.237,206.2893,0.16016,0.095,1093.64817,112.575
299,4703.196,1907.237,207.2893,0.1036,0.095,1112.361483,112.575
300,4703.196,1908.237,208.2893,0.084862,0.095,1136.926001,112.575
301,4703.196,1909.237,209.2893,0,0.095,1176.197601,112.575
302,4703.196,1910.237,210.2893,0,0.095,1221.109552,112.575
303,4703.196,1911.237,211.2893,0.062188,0.095,1256.111354,112.575
304,4703.196,1912.237,212.2893,0.15426,0.095,1268.604467,112.575
305,4703.196,1913.237,213.2893,0.16016,0.095,1277.671198,112.575
306,4703.196,1914.237,214.2893,0.1036,0.095,1289.900744,112.575
307,4703.196,1915.237,215.2893,0.084862,0.095,1301.286872,112.575
308,4703.196,1916.237,216.2893,0.052101,0.095,1308.245062,112.575
309,4703.196,1917.237,217.2893,0.014673,0.095,1317.891643,112.575
310,4703.196,1918.237,218.2893,0,0.095,1323.110285,112.575
311,4703.196,1919.237,219.2893,0,0.095,1323.004858,112.575
312,4703.196,1920.237,220.2893,0,0.095,1318.998627,112.575
313,4703.196,1921.237,221.2893,0,0.095,1312.567573,112.575
314,4703.196,1922.237,222.2893,0,0.095,1301.339586,112.575
315,4703.196,1923.237,223.2893,0,0.095,1287.47592,112.575
316,4703.196,1924.237,224.2893,0,0.095,1276.195219,112.575
317,4703.196,1925.237,225.2893,0,0.095,1276.406073,112.575
318,4703.196,1926.237,226.2893,0,0.095,1265.652507,112.575
319,4703.196,1927.237,227.2893,0,0.095,1232.759248,112.575
320,4703.196,1928.237,228.2893,0,0.095,1198.021014,112.575
321,4703.196,1929.237,229.2893,0,0.095,1164.969613,112.575
322,4703.196,1930.237,230.2893,0,0.095,1172.823933,112.575
323,4703.196,1931.237,231.2893,0,0.095,1169.66112,112.575
324,4703.196,1932.237,232.2893,0,0.095,1160.857956,112.575
325,4703.196,1933.237,233.2893,0,0.095,1162.070368,112.575
326,4703.196,1934.237,234.2893,0.062188,0.095,1185.158906,112.575
327,4703.196,1935.237,235.2893,0.15426,0.095,1235.922061,112.575
328,4703.196,1936.237,236.2893,0.16016,0.095,1267.392055,112.575
329,4703.196,1937.237,237.2893,0.1036,0.095,1263.333111,112.575
330,4703.196,1938.237,238.2893,0.084862,0.095,1250.154722,112.575
331,4703.196,1939.237,239.2893,0,0.095,1240.771708,112.575
332,4703.196,1940.237,240.2893,0,0.095,1241.404271,112.575
333,4703.196,1941.237,241.2893,0.062188,0.095,1254.635374,112.575
334,4703.196,1942.237,242.2893,0.15426,0.095,1308.139634,112.575
335,4703.196,1943.237,243.2893,0.16016,0.095,1325.85139,112.575
336,4703.196,1944.237,244.2893,0.1036,0.095,1334.707267,112.575
337,4703.196,1945.237,245.2893,0.084862,0.095,1356.161685,112.575
338,4703.196,1946.237,246.2893,0.052101,0.095,1397.910822,112.575
339,4703.196,1947.237,247.2893,0.014673,0.095,1405.554288,112.575
340,4703.196,1948.237,248.2893,0,0.095,1417.73112,112.575
341,4703.196,1949.237,249.2893,0,0.095,1425.743581,112.575
342,4703.196,1950.237,250.2893,0,0.095,1395.960421,112.575
343,4703.196,1951.237,251.2893,0,0.095,1321.845159,112.575
344,4703.196,1952.237,252.2893,0,0.095,1219.317291,112.575
345,4703.196,1953.237,253.2893,0,0.095,1162.281222,112.575
346,4703.196,1954.237,254.2893,0,0.095,1129.229821,112.575
347,4703.196,1955.237,255.2893,0,0.095,1112.888619,112.575
348,4703.196,1956.237,256.2893,0,0.095,1110.252941,112.575
349,4703.196,1957.237,257.2893,0,0.095,1126.436003,112.575
350,4703.196,1958.237,258.2893,0,0.095,1170.768105,112.575
351,4703.196,1959.237,259.2893,0,0.095,1313.041995,112.575
352,4703.196,1960.237,260.2893,0,0.095,1369.656356,112.575
353,4703.196,1961.237,261.2893,0,0.095,1375.876555,112.575
354,4703.196,1962.237,262.2893,0,0.095,1371.764898,112.575
355,4703.196,1963.237,263.2893,0,0.095,1386.47198,112.575
356,4703.196,1964.237,264.2893,0.062188,0.095,1416.676849,112.575
357,4703.196,1965.237,265.2893,0.15426,0.095,1453.312771,112.575
358,4703.196,1966.237,266.2893,0.16016,0.095,1476.823017,112.575
359,4703.196,1967.237,267.2893,0.1036,0.095,1500.175123,112.575
360,4703.196,1968.237,268.2893,0.084862,0.095,1516.990748,112.575
361,4703.196,1969.237,269.2893,0,0.095,1517.412456,112.575
362,4703.196,1970.237,270.2893,0,0.095,1521.4714,112.575
363,4703.196,1971.237,271.2893,0.062188,0.095,1512.351955,112.575
364,4703.196,1972.237,272.2893,0.15426,0.095,1494.851054,112.575
365,4703.196,1973.237,273.2893,0.16016,0.095,1458.584127,112.575
366,4703.196,1974.237,274.2893,0.1036,0.095,1428.115691,112.575
367,4703.196,1975.237,275.2893,0.084862,0.095,1385.997558,112.575
368,4703.196,1976.237,276.2893,0.052101,0.095,1338.186362,112.575
369,4703.196,1977.237,277.2893,0.014673,0.095,1303.711696,112.575
370,4703.196,1978.237,0,0,0.095,1292.114713,112.575
371,4703.196,1979.237,0,0,0.095,1283.785971,112.575
372,4703.196,1980.237,0,0,0.095,1288.9519,112.575
373,4703.196,1981.237,0,0,0.095,1306.874509,112.575
374,4703.196,1982.237,0,0,0.095,1347.622089,112.575
375,4703.196,1983.237,0,0,0.095,1392.586753,112.575
376,4703.196,1984.237,0,0,0.095,1424.689309,112.575
377,4703.196,1985.237,0,0,0.095,1416.25514,112.575
378,4703.196,1986.237,0,0,0.095,1426.850565,112.575
379,4703.196,1987.237,0,0,0.095,1431.542072,112.575
380,4703.196,1988.237,0,0,0.095,1438.342121,112.575
381,4703.196,1989.237,50.23589,0,0.095,1433.43976,112.575
382,4703.196,1990.237,51.23589,0,0.095,1426.955992,112.575
383,4703.196,1991.237,52.23589,0,0.095,1418.890818,112.575
384,4703.196,1992.237,53.23589,0,0.095,1416.044286,112.575
385,4703.196,1993.237,54.23589,0,0.095,1421.526496,112.575
386,4703.196,1994.237,55.23589,0.062188,0.095,1423.845892,112.575
387,4703.196,1995.237,56.23589,0.15426,0.095,1428.959107,112.575
388,4703.196,1996.237,57.23589,0.16016,0.095,1430.118806,112.575
389,4703.196,1997.237,58.23589,0.1036,0.095,1416.834989,112.575
390,4703.196,1998.237,59.23589,0.084862,0.095,1384.258011,112.575
391,4703.196,1999.237,60.23589,0,0.095,1324.533551,112.575
392,4703.196,2000.237,61.23589,0,0.095,1279.305319,112.575
393,4703.196,2001.237,62.23589,0.062188,0.095,1252.263264,112.575
394,4703.196,2002.237,63.23589,0.15426,0.095,1238.926734,112.575
395,4703.196,2003.237,64.23589,0.16016,0.095,1231.810404,112.575
396,4703.196,2004.237,65.23589,0.1036,0.095,1233.602665,112.575
397,4703.196,2005.237,66.23589,0.084862,0.095,1250.681857,112.575
398,4703.196,2006.237,67.23589,0.052101,0.095,1287.686774,112.575
399,4703.196,2007.237,68.23589,0.014673,0.095,1379.250223,112.575
400,4703.196,2008.237,69.23589,0,0.095,1459.901966,112.575
401,4703.196,1809.237,70.23589,0,0.095,1491.582813,112.575
402,4703.196,1810.237,71.23589,0,0.095,1509.768991,112.575
403,4703.196,1811.237,72.23589,0,0.095,1524.528787,112.575
404,4703.196,1812.237,73.23589,0,0.095,1537.549035,112.575
405,4703.196,1813.237,74.23589,0,0.095,1543.031245,112.575
406,4703.196,1814.237,75.23589,0,0.095,1551.307274,112.575
407,4703.196,1815.237,76.23589,0,0.095,1559.530589,112.575
