timestep,demand_water,demand_f,wastewater,temperature,demand_electricity
141,190.3267,0,0.095,9.507,44.26
142,191.3267,0,0.095,9.27,44.26
143,192.3267,0,0.095,9.058,44.26
144,193.3267,0,0.095,8.977,44.26
145,194.3267,0,0.095,8.841,44.26
146,195.3267,0.062188,0.095,8.849,44.26
147,196.3267,0.15426,0.095,8.998,44.26
148,197.3267,0.16016,0.095,9.089,44.26
149,198.3267,0.1036,0.095,9.21,44.26
150,58.2893,0.084862,0.095,9.341,44.26
151,59.2893,0,0.095,9.381,44.26
152,60.2893,0,0.095,9.663,44.26
153,61.2893,0.062188,0.095,10.443,44.26
154,62.2893,0.15426,0.095,11.062,44.26
155,63.2893,0.16016,0.095,11.414,44.26
156,64.2893,0.1036,0.095,11.508,44.26
157,65.2893,0.084862,0.095,11.308,44.26
158,66.2893,0.052101,0.095,10.818,44.26
159,67.2893,0.014673,0.095,10.269,44.26
160,68.2893,0,0.095,10.004,44.26
161,69.2893,0,0.095,9.807,44.26
162,70.2893,0,0.095,9.769,44.26
163,71.2893,0,0.095,9.815,44.26
164,72.2893,0,0.095,9.906,44.26
165,73.2893,0,0.095,9.966,44.26
166,74.2893,0,0.095,10.147,44.26
167,75.2893,0,0.095,10.227,44.26
168,76.2893,0,0.095,10.145,44.26
169,77.2893,0,0.095,9.964,44.26
170,78.2893,0,0.095,9.768,44.26
171,79.2893,0,0.095,9.516,44.26
172,80.2893,0,0.095,9.201,44.26
173,81.2893,0,0.095,8.88,44.26
174,82.2893,0,0.095,8.695,44.26
175,83.2893,0,0.095,9.077,44.26
176,84.2893,0.062188,0.095,9.98,44.26
177,85.2893,0.15426,0.095,11.102,44.26
178,86.2893,0.16016,0.095,11.584,44.26
179,87.2893,0.1036,0.095,11.441,44.26
180,88.2893,0.084862,0.095,11.27,44.26
181,89.2893,0,0.095,10.983,44.26
182,90.2893,0,0.095,10.69,44.26
183,91.2893,0.062188,0.095,10.482,44.26
184,92.2893,0.15426,0.095,10.336,44.26
185,93.2893,0.16016,0.095,10.093,44.26
186,94.2893,0.1036,0.095,9.821,44.26
187,95.2893,0.084862,0.095,9.478,44.26
188,96.2893,0.052101,0.095,9.109,44.26
189,97.2893,0.014673,0.095,8.813,44.26
190,98.2893,0,0.095,8.617,44.26
191,99.2893,0,0.095,8.453,44.26
192,100.2893,0,0.095,8.313,44.26
193,101.2893,0,0.095,8.219,44.26
194,102.2893,0,0.095,8.045,44.26
195,103.2893,0,0.095,7.854,44.26
196,104.2893,0,0.095,7.596,44.26
197,105.2893,0,0.095,7.549,44.26
198,106.2893,0,0.095,7.949,44.26
199,107.2893,0,0.095,8.729,44.26
200,108.2893,0,0.095,9.671,44.26
201,109.2893,0,0.095,10.315,44.26
202,110.2893,0,0.095,10.707,44.26
203,111.2893,0,0.095,10.867,44.26
204,112.2893,0,0.095,10.82,44.26
205,113.2893,0,0.095,10.547,44.26
206,114.2893,0.062188,0.095,9.935,44.26
207,115.2893,0.15426,0.095,8.027,44.26
208,116.2893,0.16016,0.095,7.229,44.26
209,117.2893,0.1036,0.095,7.168,44.26
210,118.2893,0.084862,0.095,7.414,44.26
211,119.2893,0,0.095,7.484,44.26
212,120.2893,0,0.095,7.222,44.26
213,121.2893,0.062188,0.095,6.76,44.26
214,122.2893,0.15426,0.095,6.28,44.26
215,123.2893,0.16016,0.095,5.887,44.26
216,124.2893,0.1036,0.095,5.371,44.26
217,125.2893,0.084862,0.095,5.055,44.26
218,126.2893,0.052101,0.095,4.94,44.26
219,127.2893,0.014673,0.095,5.028,44.26
220,128.2893,0,0.095,5.223,44.26
221,129.2893,0,0.095,5.015,44.26
222,130.2893,0,0.095,5.818,44.26
223,131.2893,0,0.095,7.457,44.26
224,132.2893,0,0.095,9.498,44.26
225,133.2893,0,0.095,11.335,44.26
226,134.2893,0,0.095,12.422,44.26
227,135.2893,0,0.095,13.133,44.26
228,136.2893,0,0.095,13.431,44.26
229,137.2893,0,0.095,13.41,44.26
230,138.2893,0,0.095,12.662,44.26
231,139.2893,0,0.095,9.749,44.26
232,140.2893,0,0.095,8.578,44.26
233,141.2893,0,0.095,8.313,44.26
234,142.2893,0,0.095,8.675,44.26
235,143.2893,0,0.095,8.312,44.26
236,144.2893,0.062188,0.095,7.776,44.26
237,145.2893,0.15426,0.095,7.374,44.26
238,146.2893,0.16016,0.095,6.996,44.26
239,147.2893,0.1036,0.095,6.704,44.26
240,148.2893,0.084862,0.095,6.486,44.26
241,149.2893,0,0.095,6.211,44.26
242,150.2893,0,0.095,5.933,44.26
243,151.2893,0.062188,0.095,5.71,44.26
244,152.2893,0.15426,0.095,5.54,44.26
245,153.2893,0.16016,0.095,5.467,44.26
246,154.2893,0.1036,0.095,6.526,44.26
247,155.2893,0.084862,0.095,8.666,44.26
248,156.2893,0.052101,0.095,11.059,44.26
249,157.2893,0.014673,0.095,13.123,44.26
250,158.2893,0,0.095,14.429,44.26
251,159.2893,0,0.095,15.185,44.26
252,160.2893,0,0.095,15.572,44.26
253,161.2893,0,0.095,15.455,44.26
254,162.2893,0,0.095,14.211,44.26
255,163.2893,0,0.095,11.902,44.26
256,164.2893,0,0.095,10.158,44.26
257,165.2893,0,0.095,9.115,44.26
258,166.2893,0,0.095,8.74,44.26
259,167.2893,0,0.095,8.69,44.26
260,168.2893,0,0.095,8.188,44.26
261,169.2893,0,0.095,7.893,44.26
262,170.2893,0,0.095,7.672,44.26
263,171.2893,0,0.095,7.454,44.26
264,172.2893,0,0.095,7.208,44.26
265,173.2893,0,0.095,7.075,44.26
266,174.2893,0.062188,0.095,6.813,44.26
267,175.2893,0.15426,0.095,6.443,44.26
268,176.2893,0.16016,0.095,6.073,44.26
269,177.2893,0.1036,0.095,5.713,44.26
270,178.2893,0.084862,0.095,6.849,44.26
271,179.2893,0,0.095,9.277,44.26
272,180.2893,0,0.095,11.692,44.26
273,181.2893,0.062188,0.095,13.764,44.26
274,182.2893,0.15426,0.095,15.141,44.26
275,183.2893,0.16016,0.095,15.929,44.26
276,184.2893,0.1036,0.095,16.295,44.26
277,185.2893,0.084862,0.095,16.086,44.26
278,186.2893,0.052101,0.095,14.853,44.26
279,187.2893,0.014673,0.095,12.23,44.26
280,188.2893,0,0.095,10.242,44.26
281,189.2893,0,0.095,9.808,44.26
282,190.2893,0,0.095,9.85,44.26
283,191.2893,0,0.095,9.376,44.26
284,192.2893,0,0.095,9.016,44.26
285,193.2893,0,0.095,8.281,44.26
286,194.2893,0,0.095,7.47,44.26
287,195.2893,0,0.095,7.197,44.26
288,196.2893,0,0.095,6.885,44.26
289,197.2893,0,0.095,6.667,44.26
290,198.2893,0,0.095,6.571,44.26
291,199.2893,0,0.095,6.537,44.26
292,200.2893,0,0.095,6.448,44.26
293,201.2893,0,0.095,6.297,44.26
294,202.2893,0,0.095,8.468,44.26
295,203.2893,0,0.095,10.913,44.26
296,204.2893,0.062188,0.095,12.768,44.26
297,205.2893,0.15426,0.095,13.857,44.26
298,206.2893,0.16016,0.095,14.253,44.26
299,207.2893,0.1036,0.095,13.898,44.26
300,208.2893,0.084862,0.095,13.432,44.26
301,209.2893,0,0.095,12.687,44.26
302,210.2893,0,0.095,11.835,44.26
303,211.2893,0.062188,0.095,11.171,44.26
304,212.2893,0.15426,0.095,10.934,44.26
305,213.2893,0.16016,0.095,10.762,44.26
306,214.2893,0.1036,0.095,10.53,44.26
307,215.2893,0.084862,0.095,10.314,44.26
308,216.2893,0.052101,0.095,10.182,44.26
309,217.2893,0.014673,0.095,9.999,44.26
310,218.2893,0,0.095,9.9,44.26
311,219.2893,0,0.095,9.902,44.26
312,220.2893,0,0.095,9.978,44.26
313,221.2893,0,0.095,10.1,44.26
314,222.2893,0,0.095,10.313,44.26
315,223.2893,0,0.095,10.576,44.26
316,224.2893,0,0.095,10.79,44.26
317,225.2893,0,0.095,10.786,44.26
318,226.2893,0,0.095,10.99,44.26
319,227.2893,0,0.095,11.614,44.26
320,228.2893,0,0.095,12.273,44.26
321,229.2893,0,0.095,12.9,44.26
322,230.2893,0,0.095,12.751,44.26
323,231.2893,0,0.095,12.811,44.26
324,232.2893,0,0.095,12.978,44.26
325,233.2893,0,0.095,12.955,44.26
326,234.2893,0.062188,0.095,12.517,44.26
327,235.2893,0.15426,0.095,11.554,44.26
328,236.2893,0.16016,0.095,10.957,44.26
329,237.2893,0.1036,0.095,11.034,44.26
330,238.2893,0.084862,0.095,11.284,44.26
331,239.2893,0,0.095,11.462,44.26
332,240.2893,0,0.095,11.45,44.26
333,241.2893,0.062188,0.095,11.199,44.26
334,242.2893,0.15426,0.095,10.184,44.26
335,243.2893,0.16016,0.095,9.848,44.26
336,244.2893,0.1036,0.095,9.68,44.26
337,245.2893,0.084862,0.095,9.273,44.26
338,246.2893,0.052101,0.095,8.481,44.26
339,247.2893,0.014673,0.095,8.336,44.26
340,248.2893,0,0.095,8.105,44.26
341,249.2893,0,0.095,7.953,44.26
342,250.2893,0,0.095,8.518,44.26
343,251.2893,0,0.095,9.924,44.26
344,252.2893,0,0.095,11.869,44.26
345,253.2893,0,0.095,12.951,44.26
346,254.2893,0,0.095,13.578,44.26
347,255.2893,0,0.095,13.888,44.26
348,256.2893,0,0.095,13.938,44.26
349,257.2893,0,0.095,13.631,44.26
350,258.2893,0,0.095,12.79,44.26
351,259.2893,0,0.095,10.091,44.26
352,260.2893,0,0.095,9.017,44.26
353,261.2893,0,0.095,8.899,44.26
354,262.2893,0,0.095,8.977,44.26
355,263.2893,0,0.095,8.698,44.26
356,264.2893,0.062188,0.095,8.125,44.26
357,265.2893,0.15426,0.095,7.43,44.26
358,266.2893,0.16016,0.095,6.984,44.26
359,267.2893,0.1036,0.095,6.541,44.26
360,268.2893,0.084862,0.095,6.222,44.26
361,269.2893,0,0.095,6.214,44.26
362,270.2893,0,0.095,6.137,44.26
363,271.2893,0.062188,0.095,6.31,44.26
364,272.2893,0.15426,0.095,6.642,44.26
365,273.2893,0.16016,0.095,7.33,44.26
366,274.2893,0.1036,0.095,7.908,44.26
367,275.2893,0.084862,0.095,8.707,44.26
368,276.2893,0.052101,0.095,9.614,44.26
369,277.2893,0.014673,0.095,10.268,44.26
370,0,0,0.095,10.488,44.26
371,0,0,0.095,10.646,44.26
372,0,0,0.095,10.548,44.26
373,0,0,0.095,10.208,44.26
374,0,0,0.095,9.435,44.26
375,0,0,0.095,8.582,44.26
376,0,0,0.095,7.973,44.26
377,0,0,0.095,8.133,44.26
378,0,0,0.095,7.932,44.26
379,0,0,0.095,7.843,44.26
380,0,0,0.095,7.714,44.26
381,50.23589,0,0.095,7.807,44.26
382,51.23589,0,0.095,7.93,44.26
383,52.23589,0,0.095,8.083,44.26
384,53.23589,0,0.095,8.137,44.26
385,54.23589,0,0.095,8.033,44.26
386,55.23589,0.062188,0.095,7.989,44.26
387,56.23589,0.15426,0.095,7.892,44.26
388,57.23589,0.16016,0.095,7.87,44.26
389,58.23589,0.1036,0.095,8.122,44.26
390,59.23589,0.084862,0.095,8.74,44.26
391,60.23589,0,0.095,9.873,44.26
392,61.23589,0,0.095,10.731,44.26
393,62.23589,0.062188,0.095,11.244,44.26
394,63.23589,0.15426,0.095,11.497,44.26
395,64.23589,0.16016,0.095,11.632,44.26
396,65.23589,0.1036,0.095,11.598,44.26
397,66.23589,0.084862,0.095,11.274,44.26
398,67.23589,0.052101,0.095,10.572,44.26
399,68.23589,0.014673,0.095,8.835,44.26
400,69.23589,0,0.095,7.305,44.26
401,70.23589,0,0.095,6.704,44.26
402,71.23589,0,0.095,6.359,44.26
403,72.23589,0,0.095,6.079,44.26
404,73.23589,0,0.095,5.832,44.26
405,74.23589,0,0.095,5.728,44.26
406,75.23589,0,0.095,5.571,44.26
407,76.23589,0,0.095,5.415,44.26
408,77.23589,0,0.095,5.293,44.26
409,78.23589,0,0.095,5.356,44.26
410,79.23589,0,0.095,5.44,44.26
411,80.23589,0,0.095,5.635,44.26
412,81.23589,0,0.095,5.957,44.26
413,82.23589,0,0.095,6.395,44.26
414,83.23589,0,0.095,7.906,44.26
415,84.23589,0,0.095,10.225,44.26
416,85.23589,0.062188,0.095,11.541,44.26
417,86.23589,0.15426,0.095,12.375,44.26
418,87.23589,0.16016,0.095,12.87,44.26
419,88.23589,0.1036,0.095,12.989,44.26
420,89.23589,0.084862,0.095,12.845,44.26
421,90.23589,0,0.095,12.433,44.26
422,91.23589,0,0.095,11.604,44.26
423,92.23589,0.062188,0.095,8.843,44.26
424,93.23589,0.15426,0.095,7.235,44.26
425,94.23589,0.16016,0.095,6.753,44.26
426,95.23589,0.1036,0.095,6.372,44.26
427,96.23589,0.084862,0.095,6.074,44.26
428,97.23589,0.052101,0.095,5.845,44.26
429,98.23589,0.014673,0.095,5.56,44.26
430,99.23589,0,0.095,5.482,44.26
431,100.23589,0,0.095,5.81,44.26
432,101.23589,0,0.095,5.524,44.26
433,102.23589,0,0.095,5.261,44.26
434,103.23589,0,0.095,5.106,44.26
435,104.23589,0,0.095,5.015,44.26
436,105.23589,0,0.095,4.883,44.26
437,106.23589,0,0.095,4.795,44.26
438,107.23589,0,0.095,6.075,44.26
439,108.23589,0,0.095,8.13,44.26
440,109.23589,0,0.095,10.048,44.26
441,110.23589,0,0.095,11.267,44.26
442,111.23589,0,0.095,12.52,44.26
443,112.23589,0,0.095,13.321,44.26
444,113.23589,0,0.095,13.45,44.26
445,114.23589,0,0.095,13.379,44.26
446,115.23589,0.062188,0.095,12.743,44.26
447,116.23589,0.15426,0.095,10.973,44.26
448,117.23589,0.16016,0.095,9.522,44.26
449,118.23589,0.1036,0.095,8.574,44.26
450,119.23589,0.084862,0.095,8.212,44.26
451,120.23589,0,0.095,7.911,44.26
452,121.23589,0,0.095,7.793,44.26
453,122.23589,0.062188,0.095,7.364,44.26
454,123.23589,0.15426,0.095,6.51,44.26
455,124.23589,0.16016,0.095,6.048,44.26
456,125.23589,0.1036,0.095,5.851,44.26
457,126.23589,0.084862,0.095,5.799,44.26
458,127.23589,0.052101,0.095,5.781,44.26
459,128.23589,0.014673,0.095,5.792,44.26
460,129.23589,0,0.095,5.748,44.26
461,130.23589,0,0.095,5.572,44.26
462,131.23589,0,0.095,6.932,44.26
463,132.23589,0,0.095,9.171,44.26
464,133.23589,0,0.095,10.995,44.26
465,134.23589,0,0.095,12.639,44.26
466,135.23589,0,0.095,14.116,44.26
467,136.23589,0,0.095,14.5,44.26
468,137.23589,0,0.095,14.617,44.26
469,138.23589,0,0.095,14.299,44.26
470,139.23589,0,0.095,12.831,44.26
471,140.23589,0,0.095,10.962,44.26
472,141.23589,0,0.095,10.154,44.26
473,142.23589,0,0.095,10.049,44.26
474,143.23589,0,0.095,10.207,44.26
475,144.23589,0,0.095,9.991,44.26
476,145.23589,0.062188,0.095,9.738,44.26
477,146.23589,0.15426,0.095,9.525,44.26
478,147.23589,0.16016,0.095,9.208,44.26
479,148.23589,0.1036,0.095,8.877,44.26
480,149.23589,0.084862,0.095,8.393,44.26
481,150.23589,0,0.095,8.027,44.26
482,151.23589,0,0.095,7.789,44.26
483,152.23589,0.062188,0.095,7.512,44.26
484,153.23589,0.15426,0.095,7.382,44.26
485,154.23589,0.16016,0.095,6.819,44.26
486,155.23589,0.1036,0.095,7.801,44.26
487,156.23589,0.084862,0.095,9.974,44.26
488,157.23589,0.052101,0.095,12.322,44.26
489,158.23589,0.014673,0.095,14.275,44.26
490,159.23589,0,0.095,15.616,44.26
491,160.23589,0,0.095,16.399,44.26
492,161.23589,0,0.095,16.659,44.26
493,162.23589,0,0.095,16.437,44.26
494,163.23589,0,0.095,15.232,44.26
495,164.23589,0,0.095,12.707,44.26
496,165.23589,0,0.095,11.161,44.26
497,166.23589,0,0.095,10.384,44.26
498,167.23589,0,0.095,10.152,44.26
499,168.23589,0,0.095,10.345,44.26
500,169.23589,0,0.095,9.675,44.26
501,170.23589,0,0.095,9.132,44.26
502,171.23589,0,0.095,8.997,44.26
503,172.23589,0,0.095,9.129,44.26
504,173.23589,0,0.095,9.091,44.26
505,174.23589,0,0.095,9.006,44.26
506,175.23589,0.062188,0.095,8.998,44.26
507,176.23589,0.15426,0.095,9.129,44.26
508,177.23589,0.16016,0.095,9.301,44.26
509,178.23589,0.1036,0.095,9.323,44.26
510,179.23589,0.084862,0.095,10.381,44.26
511,180.23589,0,0.095,12.562,44.26
512,181.23589,0,0.095,14.694,44.26
513,182.23589,0.062188,0.095,16.267,44.26
514,183.23589,0.15426,0.095,17.19,44.26
515,184.23589,0.16016,0.095,17.388,44.26
516,185.23589,0.1036,0.095,17.17,44.26
517,186.23589,0.084862,0.095,16.379,44.26
518,187.23589,0.052101,0.095,14.986,44.26
519,188.23589,0.014673,0.095,12.257,44.26
520,189.23589,0,0.095,10.583,44.26
521,190.23589,0,0.095,9.98,44.26
522,191.23589,0,0.095,9.54,44.26
523,192.23589,0,0.095,9.095,44.26
524,193.23589,0,0.095,8.735,44.26
525,194.23589,0,0.095,8.579,44.26
526,195.23589,0,0.095,8.317,44.26
527,196.23589,0,0.095,7.951,44.26
528,197.23589,0,0.095,7.651,44.26
529,198.23589,0,0.095,7.357,44.26
530,199.23589,0,0.095,7.035,44.26
531,200.23589,0,0.095,6.832,44.26
532,201.23589,0,0.095,6.553,44.26
533,202.23589,0,0.095,6.271,44.26
534,203.23589,0,0.095,8.558,44.26
535,204.23589,0,0.095,10.967,44.26
536,205.23589,0.062188,0.095,13.473,44.26
537,206.23589,0.15426,0.095,15.205,44.26
538,207.23589,0.16016,0.095,16.153,44.26
539,208.23589,0.1036,0.095,16.655,44.26
540,209.23589,0.084862,0.095,16.787,44.26
541,210.23589,0,0.095,16.503,44.26
542,211.23589,0,0.095,15.312,44.26
543,212.23589,0.062188,0.095,12.123,44.26
544,213.23589,0.15426,0.095,10.5,44.26
545,214.23589,0.16016,0.095,10.664,44.26
546,215.23589,0.1036,0.095,10.835,44.26
547,216.23589,0.084862,0.095,10.507,44.26
548,217.23589,0.052101,0.095,9.924,44.26
549,218.23589,0.014673,0.095,9.368,44.26
550,219.23589,0,0.095,9.014,44.26
551,220.23589,0,0.095,8.822,44.26
552,221.23589,0,0.095,8.694,44.26
553,222.23589,0,0.095,8.554,44.26
554,223.23589,0,0.095,8.439,44.26
555,224.23589,0,0.095,8.332,44.26
556,225.23589,0,0.095,8.088,44.26
557,226.23589,0,0.095,7.882,44.26
558,227.23589,0,0.095,8.68,44.26
559,228.23589,0,0.095,10.692,44.26
560,229.23589,0,0.095,13.492,44.26
561,230.23589,0,0.095,15.918,44.26
562,231.23589,0,0.095,17.8,44.26
563,232.23589,0,0.095,18.896,44.26
564,233.23589,0,0.095,18.984,44.26
565,234.23589,0,0.095,17.88,44.26
566,235.23589,0.062188,0.095,16.138,44.26
567,236.23589,0.15426,0.095,13.369,44.26
568,237.23589,0.16016,0.095,11.042,44.26
569,238.23589,0.1036,0.095,10.361,44.26
570,239.23589,0.084862,0.095,9.986,44.26
571,240.23589,0,0.095,9.59,44.26
572,241.23589,0,0.095,9.439,44.26
573,242.23589,0.062188,0.095,9.441,44.26
574,243.23589,0.15426,0.095,9.431,44.26
575,244.23589,0.16016,0.095,9.524,44.26
576,245.23589,0.1036,0.095,9.614,44.26
577,246.23589,0.084862,0.095,9.436,44.26
578,247.23589,0.052101,0.095,9.08,44.26
579,248.23589,0.014673,0.095,8.761,44.26
580,249.23589,0,0.095,8.382,44.26
581,250.23589,0,0.095,7.93,44.26
582,251.23589,0,0.095,9.285,44.26
583,252.23589,0,0.095,11.708,44.26
584,253.23589,0,0.095,13.679,44.26
585,254.23589,0,0.095,14.926,44.26
586,255.23589,0,0.095,15.721,44.26
587,256.23589,0,0.095,16.169,44.26
588,257.23589,0,0.095,16.288,44.26
589,258.23589,0,0.095,16.068,44.26
590,259.23589,0,0.095,15.056,44.26
591,260.23589,0,0.095,13.016,44.26
592,261.23589,0,0.095,11.386,44.26
593,262.23589,0,0.095,9.503,44.26
594,263.23589,0,0.095,8.778,44.26
595,264.23589,0,0.095,8.804,44.26
596,265.23589,0.062188,0.095,9.19,44.26
597,266.23589,0.15426,0.095,8.962,44.26
598,267.23589,0.16016,0.095,8.658,44.26
599,268.23589,0.1036,0.095,8.58,44.26
600,269.23589,0.084862,0.095,8.5,44.26
601,270.23589,0,0.095,8.347,44.26
602,271.23589,0,0.095,8.228,44.26
603,272.23589,0.062188,0.095,8.184,44.26
604,273.23589,0.15426,0.095,8.166,44.26
605,274.23589,0.16016,0.095,8.094,44.26
606,275.23589,0.1036,0.095,9.497,44.26
607,276.23589,0.084862,0.095,12.027,44.26
608,277.23589,0.052101,0.095,14.674,44.26
609,278.23589,0.014673,0.095,16.964,44.26
610,279.23589,0,0.095,18.436,44.26
611,280.23589,0,0.095,19.162,44.26
612,281.23589,0,0.095,19.304,44.26
613,282.23589,0,0.095,18.857,44.26
614,283.23589,0,0.095,17.515,44.26
615,284.23589,0,0.095,15.512,44.26
616,285.23589,0,0.095,14.703,44.26
617,286.23589,0,0.095,13.944,44.26
618,287.23589,0,0.095,12.824,44.26
619,288.23589,0,0.095,11.778,44.26
620,289.23589,0,0.095,11.238,44.26
621,290.23589,0,0.095,11.146,44.26
622,291.23589,0,0.095,11.408,44.26
623,292.23589,0,0.095,11.832,44.26
624,293.23589,0,0.095,12.224,44.26
625,294.23589,0,0.095,12.377,44.26
626,295.23589,0.062188,0.095,12.201,44.26
627,296.23589,0.15426,0.095,11.792,44.26
628,297.23589,0.16016,0.095,11.006,44.26
629,298.23589,0.1036,0.095,10.123,44.26
